Extra options: [hello]
Measured: 30 times

Total Average: 206.584466 msec
Total Max:     217.566000 msec
Total Min:     202.558000 msec

   AVERAGE        MAX        MIN
---------------------------------
121.098300 132.202000 118.694000: opening buffers
 39.330366  41.421000  38.108000: /Users/masatoshi/.config/nvim/init.vim
 23.587800  24.622000  22.608000: /usr/local/Cellar/neovim/HEAD-3ccdbc5/share/nvim/runtime/filetype.vim
 14.241833  15.003000  13.370000: /Users/masatoshi/.cache/dein/.cache/init.vim/.dein/ftdetect/ftdetect.vim
  8.149300   8.733000   7.469000: /Users/masatoshi/.cache/dein/state_nvim.vim
  5.976800   6.515000   5.671000: reading ShaDa
  4.323633   5.289000   4.006000: loading plugins
  4.221966   5.010000   3.939000: /usr/local/Cellar/neovim/HEAD-3ccdbc5/share/nvim/runtime/syntax/syntax.vim
  4.052666   4.871000   3.644000: /Users/masatoshi/.cache/dein/.cache/init.vim/.dein/plugin/airline.vim
  3.973833   4.733000   3.708000: /usr/local/Cellar/neovim/HEAD-3ccdbc5/share/nvim/runtime/syntax/synload.vim
  3.140400   4.290000   2.402000: /Users/masatoshi/.cache/dein/.cache/init.vim/.dein/colors/ayu.vim
  2.951633   3.627000   2.625000: /Users/masatoshi/.cache/dein/.cache/init.vim/.dein/plugin/gitgutter.vim
  2.730866   3.118000   2.517000: /Users/masatoshi/.cache/dein/repos/github.com/autozimu/LanguageClient-neovim_next/autoload/LanguageClient.vim
  2.640233   3.010000   2.399000: /Users/masatoshi/.config/nvim/plugins/deoplete.vim
  2.084866   2.790000   1.847000: /usr/local/Cellar/neovim/HEAD-3ccdbc5/share/nvim/runtime/plugin/rplugin.vim
  1.836633   2.133000   1.694000: /usr/local/Cellar/neovim/HEAD-3ccdbc5/share/nvim/runtime/plugin/matchit.vim
  1.811866   2.147000   1.711000: /Users/masatoshi/.cache/dein/.cache/init.vim/.dein/plugin/fugitive.vim
  1.779500   2.172000   1.579000: /Users/masatoshi/.local/share/nvim/rplugin.vim
  1.725933   1.973000   1.555000: BufEnter autocommands
  1.646566   1.951000   1.526000: /Users/masatoshi/.cache/dein/repos/github.com/Shougo/dein.vim/autoload/dein/util.vim
